Date,AAPL,AMZN,GOOGL
2017-10-02,152.636734,959.190002,967.469971
2017-10-03,153.30162,957.099976,972.080017
2017-10-04,152.30925,965.450012,966.780029
2017-10-05,154.204681,980.849976,985.190002
2017-10-06,154.115372,989.580017,993.640015
2017-10-09,154.651245,990.98999,992.309998
2017-10-10,154.710785,987.200012,987.799988
2017-10-11,155.355835,995.0,1005.650024
2017-10-12,154.810028,1000.929993,1005.650024
2017-10-13,155.792496,1002.940002,1007.869995
2017-10-16,158.660431,1006.340027,1009.349976
2017-10-17,159.245941,1009.130005,1011.0
2017-10-18,158.541336,997.0,1012.73999
2017-10-19,154.790176,986.609985,1001.840027
2017-10-20,155.058121,982.909973,1005.070007
2017-10-23,154.978729,966.299988,985.539978
2017-10-24,155.901642,975.900024,988.48999
2017-10-25,155.216904,972.909973,991.460022
2017-10-26,156.209274,972.429993,991.419983
2017-10-27,161.806259,1100.949951,1033.670044
2017-10-30,165.448257,1110.849976,1033.130005
2017-10-31,167.750549,1105.280029,1033.040039
2017-11-01,165.616959,1103.680054,1042.599976
2017-11-02,166.827652,1094.219971,1042.969971
2017-11-03,171.184174,1111.599976,1049.98999
2017-11-06,172.920822,1120.660034,1042.680054
2017-11-07,173.476532,1123.170044,1052.390015
2017-11-08,174.895645,1132.880005,1058.290039
2017-11-09,174.538391,1129.130005,1047.719971
2017-11-10,173.960739,1125.349976,1044.150024
2017-11-13,173.26358,1129.170044,1041.199951
2017-11-14,170.644257,1136.839966,1041.640015
2017-11-15,168.393448,1126.689941,1036.410034
2017-11-16,170.405243,1137.290039,1048.469971
2017-11-17,169.459091,1129.880005,1035.890015
2017-11-20,169.28978,1126.310059,1034.660034
2017-11-21,172.436951,1139.48999,1050.300049
2017-11-22,174.249573,1156.160034,1051.920044
2017-11-24,174.259521,1186.0,1056.52002
2017-11-27,173.383087,1195.829956,1072.01001
2017-11-28,172.367249,1193.599976,1063.290039
2017-11-29,168.791809,1161.27002,1037.380005
2017-11-30,171.152191,1176.75,1036.170044
2017-12-01,170.355438,1162.349976,1025.069946
2017-12-04,169.110519,1133.949951,1011.869995
2017-12-05,168.951172,1141.569946,1019.599976
2017-12-06,168.323715,1152.349976,1032.719971
2017-12-07,168.632477,1159.790039,1044.569946
2017-12-08,168.682251,1162.0,1049.380005
2017-12-11,171.968857,1168.920044,1051.969971
2017-12-12,171.002792,1165.079956,1048.77002
2017-12-13,171.570496,1164.130005,1051.390015
2017-12-14,171.520691,1174.26001,1057.469971
2017-12-15,173.26358,1179.140015,1072.0
2017-12-18,175.703629,1190.579956,1085.089966
2017-12-19,173.831268,1187.380005,1079.780029
2017-12-20,173.642044,1177.619995,1073.560059
2017-12-21,174.299362,1174.76001,1070.849976
2017-12-22,174.299362,1168.359985,1068.859985
2017-12-26,169.877396,1176.76001,1065.849976
2017-12-27,169.907272,1182.26001,1060.199951
2017-12-28,170.385315,1186.099976,1055.949951
2017-12-29,168.542831,1169.469971,1053.400024
2018-01-02,171.560516,1189.01001,1073.209961
2018-01-03,171.53064,1204.199951,1091.52002
2018-01-04,172.327393,1209.589966,1095.76001
2018-01-05,174.289398,1229.140015,1110.290039
2018-01-08,173.642044,1246.869995,1114.209961
2018-01-09,173.622116,1252.699951,1112.790039
2018-01-10,173.582275,1254.329956,1110.140015
2018-01-11,174.568268,1276.680054,1112.050049
2018-01-12,176.370911,1305.199951,1130.650024
2018-01-16,175.474579,1304.859985,1130.699951
2018-01-17,178.372757,1295.0,1139.099976
2018-01-18,178.532104,1293.319946,1135.969971
2018-01-19,177.735352,1294.579956,1143.5
2018-01-22,176.281281,1327.310059,1164.160034
2018-01-23,176.321106,1362.540039,1176.170044
2018-01-24,173.512573,1357.51001,1171.290039
2018-01-25,170.415192,1377.949951,1182.140015
2018-01-26,170.813568,1402.050049,1187.560059
2018-01-29,167.278,1417.680054,1186.47998
2018-01-30,166.292007,1437.819946,1177.369995
2018-01-31,166.750137,1450.890015,1182.219971
2018-02-01,167.098724,1390.0,1181.589966
2018-02-02,159.848282,1429.949951,1119.199951
2018-02-05,155.854568,1390.0,1062.390015
2018-02-06,162.368011,1442.839966,1084.430054
2018-02-07,158.892166,1416.780029,1055.410034
2018-02-08,154.520004,1350.5,1007.710022
2018-02-09,156.410004,1339.599976,1046.27002
2018-02-12,162.710007,1386.22998,1054.560059
2018-02-13,164.339996,1414.51001,1054.140015
2018-02-14,167.369995,1451.050049,1072.699951
2018-02-15,172.990005,1461.76001,1091.359985
2018-02-16,172.429993,1448.689941,1095.5
2018-02-20,171.850006,1468.349976,1103.589966
2018-02-21,171.070007,1482.920044,1113.75
2018-02-22,172.5,1485.339966,1109.900024
2018-02-23,175.5,1500.0,1128.089966
2018-02-26,178.970001,1521.949951,1143.699951
2018-02-27,178.389999,1511.97998,1117.51001
2018-02-28,178.119995,1512.449951,1103.920044
2018-03-01,175.0,1493.449951,1071.410034
2018-03-02,176.210007,1500.25,1084.140015
2018-03-05,176.820007,1523.609985,1094.76001
2018-03-06,176.669998,1537.640015,1100.900024
2018-03-07,175.029999,1545.0,1115.040039
2018-03-08,176.940002,1551.859985,1129.380005
